详细分析结果
生成时间: 2025-11-20 16:04:32.743543
================================================================================

方法: zFold_uniref90_m2
目录: /sugon_store/zhengliangzhen/P450/structure_prediction/P450-2019Sept_dataset/zFold_uniref90_output_m2
总预测数: 73
平均时间: 441.1263 分钟
总时间: 32202.22 分钟 (536.70 小时)

单个预测详情:
  8ckn_a_sampled_0: 0.0005 分钟
  8gk3_a_sampled_0: 0.0007 分钟
  8gtl_a_sampled_0: 0.0006 分钟
  8hny_a_sampled_0: 0.0005 分钟
  8ho1_a_sampled_0: 0.0005 分钟
  8hou_a_sampled_0: 0.0007 分钟
  8jnp_a_sampled_0: 0.0006 分钟
  8jrl_a_sampled_0: 0.0006 分钟
  8jua_a_sampled_0: 0.0006 分钟
  8q2f_a_sampled_0: 0.0007 分钟
  8q5j_a_sampled_0: 0.0006 分钟
  8q6x_a_sampled_0: 0.0005 分钟
  8q6z_a_sampled_0: 0.0009 分钟
  8qze_a_sampled_0: 0.0007 分钟
  8qzf_a_sampled_0: 0.0007 分钟
  8twu_a_sampled_0: 0.0006 分钟
  8yhn_a_sampled_0: 0.0006 分钟
  9cjg_a_sampled_0: 0.0005 分钟
  9ef0_a_sampled_0: 0.0009 分钟

================================================================================

